标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0199,运动机构,机构/执行系统,,段与内翼段连接处的运动机构实现机翼后掠角,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,段与内翼段连接处的运动机构实现机翼后掠角,1,2,0.9,已规范化
SE0200,驱动机构,机构/执行系统,,变形驱动机构和局部结构加强，质量代价大,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变形驱动机构和局部结构加强，质量代价大,1,6,0.95,已规范化
SE0201,主动控制,控制方法,,十分复杂，重心的稳定甚至需要依靠主动控制技,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,22,十分复杂，重心的稳定甚至需要依靠主动控制技,1,1,0.9,已规范化
SE0202,主动流动控制,控制方法,,宽域高超声速变构飞行器高效主动流动控制方,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,宽域高超声速变构飞行器高效主动流动控制方,1,1,0.9,已规范化
SE0203,俯仰控制,控制方法,,比，偏转弹头导弹具有更高的俯仰控制效率(见,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,比，偏转弹头导弹具有更高的俯仰控制效率(见,1,1,0.9,已规范化
SE0204,偏航控制,控制方法,,偏航控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0205,前缘控制面,控制方法,,前缘控制面用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0206,动力学和控制,控制方法,,念的基础上，进一步开展了单-双折叠翼变体的气动特性研究、动力学和控制研,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,念的基础上，进一步开展了单-双折叠翼变体的气动特性研究、动力学和控制研,1,17,0.95,已规范化
SE0207,协同射流控制,控制方法,,协同射流控制方案在伸缩机翼上的应用，获得了,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,协同射流控制方案在伸缩机翼上的应用，获得了,1,1,0.9,已规范化
SE0208,发汗冷却,控制方法,,究了一种可以实现发汗冷却的柔性蒙皮结构。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,究了一种可以实现发汗冷却的柔性蒙皮结构。,1,1,0.9,已规范化
SE0209,后缘控制面,控制方法,,尾布局上应用柔性前后缘控制面，试验结果表明,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,尾布局上应用柔性前后缘控制面，试验结果表明,1,1,0.9,已规范化
SE0210,增强型自适应前缘,控制方法,,TrailingEdge，WATE)、增强型自适应前缘(En‐,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,Trailing Edge， WATE)、增强型自适应前缘(En‐,1,1,0.9,已规范化
SE0211,增益调度控制,控制方法,,增益调度控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0212,姿态控制,控制方法,,风扇和姿态控制喷管实现垂直起降和短距离滑,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,26,风扇和姿态控制喷管实现垂直起降和短距离滑,1,1,0.9,已规范化
SE0213,展向自适应机翼,控制方法,,之后，SAW项目还开展了展向自适应机翼技术,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,之后，SAW 项目还开展了展向自适应机翼技术,1,1,0.9,已规范化
SE0214,弹头偏转控制,控制方法,,弹头偏转控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0215,控制分配,控制方法,,控制分配用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0216,控制律,控制方法,,究与控制律设计验证。研究结果表明：垂直起降,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,25,究与控制律设计验证。研究结果表明：垂直起降,1,2,0.9,已规范化
SE0217,控制技术,控制方法,,料、驱动器、控制技术。而针对偏转弹头气动特,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,8,料、驱动器、控制技术。而针对偏转弹头气动特,1,1,0.9,已规范化
SE0218,控制方案,控制方法,,控制方案，并进一步讨论了变体对于飞机稳定性的影响；在变体的结构机构设计,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,控制方案，并进一步讨论了变体对于飞机稳定性的影响；在变体的结构机构设计,1,12,0.95,已规范化
SE0219,控制难度,控制方法,,变体的控制难度，对此可以使用多方面的措施进行解决：1)在机翼外形的总,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,变体的控制难度，对此可以使用多方面的措施进行解决：1)在机翼外形的总,1,1,0.9,已规范化
SE0220,智能控制,控制方法,,体是指基于智能材料、智能控制等技术根据不同,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,体是指基于智能材料、智能控制等技术根据不同,1,4,0.95,已规范化
SE0221,柔性前后缘控制面,控制方法,,尾布局上应用柔性前后缘控制面，试验结果表明,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,尾布局上应用柔性前后缘控制面，试验结果表明,1,1,0.9,已规范化
SE0222,滑模控制,控制方法,,滑模控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0223,滚转控制,控制方法,,20000N·m。经ACADO计算，此时固定机翼副翼可产生的最大滚转控制力矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,103,20000 N·m。经ACADO 计算，此时固定机翼副翼可产生的最大滚转控制力矩,1,1,0.9,已规范化
SE0224,热防护,控制方法,,来显著降低发射成本。但是由于材料、热防护等技,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,来显著降低发射成本 。但是由于材料、热防护等技,1,4,0.95,已规范化
SE0225,环境自适应特性,控制方法,,环境自适应特性。飞行器的柔性变形主要包括,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,环境自适应特性。飞行器的柔性变形主要包括,1,1,0.9,已规范化
SE0226,等离子体激励,控制方法,,［124］、迎风凹腔、等离子体激励等传统,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,［124］、迎风凹腔、等离子体激励等传统,1,1,0.9,已规范化
SE0227,自适应前缘,控制方法,,TrailingEdge，WATE)、增强型自适应前缘(En‐,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,Trailing Edge， WATE)、增强型自适应前缘(En‐,1,1,0.9,已规范化
SE0228,自适应后缘,控制方法,,项目，通过采用自适应后缘(AdaptiveTrailing,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,项目，通过采用自适应后缘(Adaptive Trailing,1,2,0.9,已规范化
SE0229,自适应控制,控制方法,,自适应控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0230,自适应柔性后缘,控制方法,,2014年，NASA组织开展了自适应柔性后缘,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,2014 年，NASA 组织开展了自适应柔性后缘,1,1,0.9,已规范化
SE0231,自配平,控制方法,,系数约等于0，即该状态下飞行器可以实现自配平。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,系数约等于0，即该状态下飞行器可以实现自配平。,1,1,0.9,已规范化
SE0232,舵面控制,控制方法,,［29］所示，相较于鸭翼舵面控制，偏转弹头控,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,［29］所示，相较于鸭翼舵面控制，偏转弹头控,1,2,0.9,已规范化
SE0233,迎风凹腔,控制方法,,［124］、迎风凹腔、等离子体激励等传统,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,［124］、迎风凹腔、等离子体激励等传统,1,1,0.9,已规范化
SE0234,逆向射流,控制方法,,。Lü等［123］研究了一种可以实现发汗冷却的柔性蒙皮结构。风洞试验结果表明，该柔性蒙皮能够承受极端热力环境，可以应用于高速变体飞行器的热防护。探索逆向射流［124］、迎风凹腔、等离子体激励等传统流动…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,。Lü 等 ［123］研 究了一种可以实现发汗冷却的柔性蒙皮结构。 风洞试验结果表明，该柔性蒙皮能够承受极端热 力环境，可以应用于高速变体飞行器的热防护。 探索逆向射流 ［124］、迎风凹腔、等离子体激励等传统 流动控制方案 ［125］对飞行器变构型过程时变效应 和非稳态流动的控制效果，对于宽域高超声速飞 行器投入工程应用和型,1,1,0.9,已规范化
SE0235,配平效率,控制方法,,以保证大攻角下降过程中良好的配平效率。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,以保证大攻角下降过程中良好的配平效率。,1,1,0.9,已规范化
SE0236,配平能力,控制方法,,纵向稳定性以及相应的配平能力与质心位置密,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,纵向稳定性以及相应的配平能力与质心位置密,1,1,0.9,已规范化
SE0237,铰接控制面,控制方法,,取代无尾布局前缘和后缘的铰接控制面，并在无,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,取代无尾布局前缘和后缘的铰接控制面，并在无,1,1,0.9,已规范化
SE0238,飞行控制,控制方法,,度高，在气动设计、飞行控制、结构机构等多方面均,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,度高，在气动设计、飞行控制、结构机构等多方面均,1,20,0.95,已规范化
SE0239,鲁棒控制,控制方法,,鲁棒控制用于飞行状态调节、姿态保持、配平或变构过程控制。,待人工补充,,,1,0,0.6,已规范化
SE0240,鸭翼舵面控制,控制方法,,［29］所示，相较于鸭翼舵面控制，偏转弹头控,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,［29］所示，相较于鸭翼舵面控制，偏转弹头控,1,2,0.9,已规范化
SE0241,主动气动弹性,性能指标,,性变体、设计主动气动弹性机翼、到聚焦柔性变形,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,性变体、设计主动气动弹性机翼、到聚焦柔性变形,1,5,0.95,已规范化
SE0242,低空低马赫数滑翔,性能指标,,2024年中国航天大会论文集图14折叠构型荷兰滚模态判据曲线3.2.3展开构型亚声速飞行横向静稳定性对于展开构型，讨论其在亚声速飞行状态下的横向稳定性。图15给出了在0.4Ma和0.8Ma的亚声速…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,2024 年中国航天大会论文集 图14 折叠构型荷兰滚模态判据曲线 3.2.3 展开构型亚声速飞行横向静稳定性 对于展开构型，讨论其在亚声速飞行状态下的 横向稳定性。图 15给出了在 0.4 Ma  和 0.8 Ma  的 亚声速条件下展开构型横向气动导数随攻角变化曲 线。可以看出，在0°～90°攻角下，𝐶௟ఉ始终为负，表 明展开构型在亚声速条件下横向是静稳定的。 图15 展开构型横向气动导数 3.2.4 展开构型,1,1,0.9,已规范化
SE0243,低速性能,性能指标,,对起降跑道的要求，提高起降过载，提高低速性能，如实现大展弦比无人机在,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,46,对起降跑道的要求，提高起降过载，提高低速性能，如实现大展弦比无人机在,1,2,0.9,已规范化
SE0244,低阻高升特性,性能指标,,低阻高升特性是评价飞行器气动、结构、稳定性或任务能力的重要指标。,待人工补充,,,1,0,0.6,已规范化
SE0245,低马赫数,性能指标,,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,1,5,0.95,已规范化
SE0246,侧滑角,性能指标,,行分析，在计算时需要计入侧滑角的影响，因此在,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,行分析，在计算时需要计入侧滑角的影响，因此在,1,4,0.95,已规范化
SE0247,俯仰力矩,性能指标,,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,1,20,0.95,已规范化
SE0248,俯仰力矩系数,性能指标,,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,1,7,0.95,已规范化
SE0249,减小阻力,性能指标,,翼的阻力产生的弯矩和扭矩，这部分变形可以通过气动优化减小阻力来改善。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,116,翼的阻力产生的弯矩和扭矩，这部分变形可以通过气动优化减小阻力来改善。,1,3,0.95,已规范化
SE0250,前掠角,性能指标,,变前掠角以达到最优气动性能。在超声速巡航,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,变前掠角以达到最优气动性能。在超声速巡航,1,4,0.95,已规范化
SE0251,力矩,性能指标,,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,1,20,0.95,已规范化
SE0252,动压最大值,性能指标,,行高度从50km(此刻接近再入过程动压最大值)到,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,行高度从50 km(此刻接近再入过程动压最大值)到,1,1,0.9,已规范化
SE0253,动态气动力,性能指标,,估、气动布局方案优化、多学科耦合设计等方面的关键技术难点，重点对变体飞行器动态气动力计算方法和气动优化设,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,估、气动布局方案优化、多学科耦合设计等方面的关键技术难点，重点对变体飞行器动态气动力计算方法和气动优化设,1,2,0.9,已规范化
SE0254,升力,性能指标,,变形加速度对非定常升力系数的影响情况。陈钱等,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变形加速度对非定常升力系数的影响情况。陈钱等,1,20,0.95,已规范化
SE0255,升力系数,性能指标,,变形加速度对非定常升力系数的影响情况。陈钱等,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变形加速度对非定常升力系数的影响情况。陈钱等,1,20,0.95,已规范化
SE0256,升阻比,性能指标,lift-to-drag ratio,"unfolded configuration demonstrates a high lift-to-drag ratio characteristic at low Mach numbers, fa…",D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,7,"unfolded configuration demonstrates a high lift-to-drag ratio characteristic at low Mach numbers, facilitating low-altitude gliding.",2,24,0.95,已规范化
SE0257,受力特性,性能指标,,研究中，分析了变体过程中机翼和机构的传力路径和受力特性，并进一步以“全,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,研究中，分析了变体过程中机翼和机构的传力路径和受力特性，并进一步以“全,1,7,0.95,已规范化
SE0258,后掠角,性能指标,,变后掠随速度变化后掠角，适用于兼顾低速和高速性能的宽域飞行,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变后掠 随速度变化后掠角，适用于兼顾低速和高速性能的宽域飞行,1,20,0.95,已规范化
SE0259,多任务飞行性能,性能指标,,航空学报629595-30宽速域下的气动特性和操稳特性研究提供了参考价值。此外，一方面，宽域高超声速变构飞行器在高超声速飞行过程中面临复杂的力/热环境，伴随着严重的气动加热和阻力激增等问题。另一方面，…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,航 空 学 报 629595-30 宽速域下的气动特性和操稳特性研究提供了参 考价值。 此外，一方面，宽域高超声速变构飞行器在 高超声速飞行过程中面临复杂的力/热环境，伴 随着严重的气动加热和阻力激增等问题。另一 方面，变构过程各部件之间存在的气动干扰会导 致变构部位热流沉积和气动特性恶化，亟需建立 宽域高超声速变构飞行器高效主动流动控制方 案。目前针对宽域高超声速变构飞行器主动流 动控制方案研究相对较少。Kanat 等 ［122］开展,1,1,0.9,已规范化
SE0260,多飞行任务性能,性能指标,,行需求，探索可以提高多飞行任务性能的新概念变形方式，建立智能变体设计模型及多学科强耦合一体化设计体系将成,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,行需求，探索可以提高多飞行任务性能的新概念变形方式，建立智能变体设计模型及多学科强耦合一体化设计体系将成,1,1,0.9,已规范化
SE0261,大展弦比长航时,性能指标,,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,1,17,0.95,已规范化
SE0262,大攻角,性能指标,,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,1,17,0.95,已规范化
SE0263,失速攻角,性能指标,,图4.9上下机翼处于不同位置时机翼的失速攻角.......................................43,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.9 上下机翼处于不同位置时机翼的失速攻角 ....................................... 43,1,20,0.95,已规范化
SE0264,局部气动干扰,性能指标,,承受较大载荷并导致局部气动干扰。在20世纪,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,承受较大载荷并导致局部气动干扰。在20 世纪,1,2,0.9,已规范化
SE0265,局部热流,性能指标,,部形状对于降低激波阻力、减小头部局部热流、,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,部形状对于降低激波阻力、减小头部局部热流、,1,2,0.9,已规范化
SE0266,展弦比,性能指标,aspect ratio,High aspect ratio long-endurance aircraft plays an important role in the,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,6,High aspect ratio long-endurance aircraft plays an important role in the,2,34,0.95,已规范化
SE0267,巡航效率,性能指标,提高巡航效率,项目，采用新型形状记忆合金设计固态驱动器代替液压驱动器，使得驱动机构重量减小80%［17］。验证机(见图9［18］)的多次飞行试验证明了该项技术可以提高巡航效率，减小飞行阻力［19］。SAW项目主要是…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,项目， 采用新型形状记忆合金设计固态驱动器代替液 压驱动器，使得驱动机构重量减小80% ［17］。验证 机(见图9 ［18］)的多次飞行试验证明了该项技术可 以提高巡航效率，减小飞行阻力 ［19］。SAW 项目 主要是驱动器上的更新，与布局发展关系不大。 之后，SAW 项目还开展了展向自适应机翼技术 在F-18 飞机上的应用研究。,2,2,0.9,已规范化
SE0268,性能增幅,性能指标,,性能增幅与可能付出的代价(尤其是重量的增,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,性能增幅与可能付出的代价(尤其是重量的增,1,1,0.9,已规范化
SE0269,性能收益,性能指标,,等方面付出过高的代价，进而抵消了变体带来的性能收益。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,等方面付出过高的代价，进而抵消了变体带来的性能收益。,1,1,0.9,已规范化
SE0270,性能缺陷,性能指标,,展弦比飞行器的性能缺陷，但现有的变展长变体技术往往在结构增重、空间侵占,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展弦比飞行器的性能缺陷，但现有的变展长变体技术往往在结构增重、空间侵占,1,1,0.9,已规范化
SE0271,提高气动性能,性能指标,,翼扭转和增加机翼弯度，进而提高气动性能，该,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,翼扭转和增加机翼弯度，进而提高气动性能，该,1,1,0.9,已规范化
SE0272,提高飞行性能,性能指标,,动弹性机翼的应用有利于提高飞行性能和经济,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,动弹性机翼的应用有利于提高飞行性能和经济,1,3,0.95,已规范化
SE0273,摩擦阻力,性能指标,,零升阻力的主要组成部分是摩擦阻力，减阻比较困难，而诱导阻力则反比于飞机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,零升阻力的主要组成部分是摩擦阻力，减阻比较困难，而诱导阻力则反比于飞机,1,4,0.95,已规范化
SE0274,操稳特性,性能指标,,5.3变体对飞机操稳特性的影响和失效安全性..........................................82,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,5.3 变体对飞机操稳特性的影响和失效安全性 .......................................... 82,1,12,0.95,已规范化
SE0275,操纵力矩,性能指标,,较大的操纵力矩。此外，与鸭翼舵面控制导弹相,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,较大的操纵力矩。此外，与鸭翼舵面控制导弹相,1,2,0.9,已规范化
SE0276,操纵性能,性能指标,提高操纵性能,飞机的抗风性能、过载性能和操纵性能。由此可以实现大展弦比长航时飞行器,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,122,飞机的抗风性能、过载性能和操纵性能。由此可以实现大展弦比长航时飞行器,2,5,0.95,已规范化
SE0277,改善飞行性能,性能指标,,改善飞行性能，进而满足多任务飞行需求，但与此,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,改善飞行性能，进而满足多任务飞行需求，但与此,1,1,0.9,已规范化
SE0278,攻角,性能指标,,不同攻角下的升阻特性、飞行稳定性进行了分析及对比。结果表明，折叠构型在高空高速条件下具备优良的减速性能，并可,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,不同攻角下的升阻特性、飞行稳定性进行了分析及对比。结果表明，折叠构型在高空高速条件下具备优良的减速性能，并可,1,20,0.95,已规范化
SE0279,时变空气动力学效应,性能指标,,形飞行器进行对比，梳理了变体飞行器因为变构型的实现而衍生的气动布局与总体协调设计、时变空气动力学效应评,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,形飞行器进行对比，梳理了变体飞行器因为变构型的实现而衍生的气动布局与总体协调设计、时变空气动力学效应评,1,2,0.9,已规范化
SE0280,最大升力,性能指标,,在高超声速及超声速飞行状态下，最大升力出现在,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,在高超声速及超声速飞行状态下，最大升力出现在,1,20,0.95,已规范化
SE0281,最大升力系数,性能指标,,图4.8上下机翼处于不同位置时机翼的最大升力系数................................42,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.8 上下机翼处于不同位置时机翼的最大升力系数 ................................ 42,1,20,0.95,已规范化
SE0282,最大升阻比,性能指标,,行的最大升阻比出现20°～30°攻角区间，也仅为,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,行的最大升阻比出现20°～30°攻角区间，也仅为,1,4,0.95,已规范化
SE0283,机动性能,性能指标,,更好的抗侧风、突风能力和更强的空中机动性能，有效地克服了大展弦比飞行器,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,43,更好的抗侧风、突风能力和更强的空中机动性能，有效地克服了大展弦比飞行器,1,3,0.95,已规范化
SE0284,机动载荷,性能指标,,航空学报629595-3变形来提高气动效率，变体设计方案如图2［5］所示，飞行试验结果表明自适应机翼在设计巡航点阻力减少了约7%，非设计点的阻力减少了20%以上［5］。1985年，NASA与洛克韦尔公…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,航 空 学 报 629595-3 变形来提高气动效率，变体设计方案如图2 ［5］所 示，飞行试验结果表明自适应机翼在设计巡航点 阻力减少了约7%，非设计点的阻力减少了20% 以上 ［5］。 1985 年，NASA 与洛克韦尔公司合作开展了 主动柔性机翼(Active Flexible Wing， AFW)项 目 ［6］，1996 年扩展为主动气动弹性机翼(Active Aeroelastic Wing， AAW)计划 ［7］。该项目采,1,1,0.9,已规范化
SE0285,栖息机动能力,性能指标,,航空学报629595-30宽速域下的气动特性和操稳特性研究提供了参考价值。此外，一方面，宽域高超声速变构飞行器在高超声速飞行过程中面临复杂的力/热环境，伴随着严重的气动加热和阻力激增等问题。另一方面，…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,航 空 学 报 629595-30 宽速域下的气动特性和操稳特性研究提供了参 考价值。 此外，一方面，宽域高超声速变构飞行器在 高超声速飞行过程中面临复杂的力/热环境，伴 随着严重的气动加热和阻力激增等问题。另一 方面，变构过程各部件之间存在的气动干扰会导 致变构部位热流沉积和气动特性恶化，亟需建立 宽域高超声速变构飞行器高效主动流动控制方 案。目前针对宽域高超声速变构飞行器主动流 动控制方案研究相对较少。Kanat 等 ［122］开展,1,1,0.9,已规范化
SE0286,梢根比,性能指标,,图4.30不同梢根比的双翼升力和阻力对比................................................56,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,13,图 4.30 不同梢根比的双翼升力和阻力对比 ................................................ 56,1,20,0.95,已规范化
SE0287,横向气动导数,性能指标,,折叠构型在高超声速状态下的横向气动导数，如图,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,折叠构型在高超声速状态下的横向气动导数，如图,1,2,0.9,已规范化
SE0288,横向稳定性,性能指标,,24年中国航天大会论文集图14折叠构型荷兰滚模态判据曲线3.2.3展开构型亚声速飞行横向静稳定性对于展开构型，讨论其在亚声速飞行状态下的横向稳定性。图15给出了在0.4Ma和0.8Ma的亚声速条件…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,24 年中国航天大会论文集 图14 折叠构型荷兰滚模态判据曲线 3.2.3 展开构型亚声速飞行横向静稳定性 对于展开构型，讨论其在亚声速飞行状态下的 横向稳定性。图 15给出了在 0.4 Ma  和 0.8 Ma  的 亚声速条件下展开构型横向气动导数随攻角变化曲 线。可以看出，在0°～90°攻角下，𝐶௟ఉ始终为负,1,1,0.9,已规范化
SE0289,横向静稳定性,性能指标,,3.2.1折叠构型高超声速飞行横向静稳定性,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,3.2.1 折叠构型高超声速飞行横向静稳定性,1,2,0.9,已规范化
SE0290,气动中心,性能指标,,图4.47变体过程中飞机的气动中心变化情况.............................................67,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,14,图 4.47 变体过程中飞机的气动中心变化情况 ............................................. 67,1,17,0.95,已规范化
SE0291,气动力,性能指标,,梳理与分析，认为在该专业领域，时变空气动力学,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,梳理与分析，认为在该专业领域，时变空气动力学,1,20,0.95,已规范化
SE0292,气动力矩,性能指标,,的偏转来改变机翼的流场结构，进而改变机翼的气动力和气动力矩，驱动机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,49,的偏转来改变机翼的流场结构，进而改变机翼的气动力和气动力矩，驱动机翼,1,5,0.95,已规范化
SE0293,气动力计算状态,性能指标,,Ma到0.4Ma，每个飞行高度计算了从0°到90°共10个攻角状态。为了对飞行稳定性进行分析，计算时引入了5°侧滑角，具体计算状态见表1。表1气动力计算状态高度/km马赫数攻角范围/(°)侧滑角/(°…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,Ma到0.4 Ma，每个飞行高度 计算了从0°到90°共10个攻角状态。为了对飞行稳定 性进行分析，计算时引入了5°侧滑角，具体计算状态 见表 1。 表1 气动力计算状态 高度/km 马赫数 攻角范围/(°) 侧滑角/(°) 50 12 0~90 5 25 6 0~90 5 10 2 0~90 5,1,1,0.9,已规范化
SE0294,气动加热,性能指标,,随着严重的气动加热和阻力激增等问题。另一,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,随着严重的气动加热和阻力激增等问题。另一,1,2,0.9,已规范化
SE0295,气动外形,性能指标,,气动布局设计包括气动外形的设计、飞行器布,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,气动布局设计包括气动外形的设计、飞行器布,1,18,0.95,已规范化
SE0296,气动干扰,性能指标,,前一直在飞机中占据主导地位。但由于双翼之间的气动干扰和支柱等结构带来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,前一直在飞机中占据主导地位。但由于双翼之间的气动干扰和支柱等结构带来,1,13,0.95,已规范化
SE0297,气动弹性,性能指标,,性变体、设计主动气动弹性机翼、到聚焦柔性变形,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,性变体、设计主动气动弹性机翼、到聚焦柔性变形,1,15,0.95,已规范化
