标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0524,SE0093,双翼,气动布局,改善,SE0286,梢根比,性能指标,对于双翼而言，当机翼带有较小的梢根比时，翼根的弦长增加，翼根截面的x,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0708
SR0525,SE0093,双翼,气动布局,改善,SE0299,气动性能,性能指标,2)双翼的气动性能对于机翼平面参数的变化不敏感，除了增大上机翼与,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0828
SR0526,SE0093,双翼,气动布局,改善,SE0172,翼根,结构部件,对于双翼而言，当机翼带有较小的梢根比时，翼根的弦长增加，翼根截面的x,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0709
SR0527,SE0093,双翼,气动布局,改善,SE0339,零升攻角,性能指标,总的来看，上机翼在前时可以提高双翼整体的弯度，降低零升攻角；下机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,57,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0823
SR0528,SE0093,双翼,气动布局,改善,SE0345,飞行性能,性能指标,合以上两点，为了尽可能的提高双翼的飞行性能，双翼的上下翼间距应尽可能,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,70,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1115
SR0529,SE0095,双翼构型,气动布局,改善,SE0254,升力,性能指标,提高双翼构型的最大升力系数，增强双翼构型的起降性能；降低单翼构型的阻,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1216
SR0530,SE0095,双翼构型,气动布局,改善,SE0089,单翼构型,气动布局,提高双翼构型的最大升力系数，增强双翼构型的起降性能；降低单翼构型的阻,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0758
SR0531,SE0095,双翼构型,气动布局,改善,SE0281,最大升力系数,性能指标,提高双翼构型的最大升力系数，增强双翼构型的起降性能；降低单翼构型的阻,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0756
SR0532,SE0049,变体技术,变形方式,改善,SE0392,收益代价,设计问题,来的收益无法抵消其付出的代价。为此，也需要明确变体技术的收益代价边界，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1031
SR0533,SE0050,变体方案,变形方式,改善,SE0169,结构重量,结构部件,2000L 时，可以取得较好的收益。而现有的常见的变展长变体方案，在结构重量,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,41,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0591
SR0534,SE0188,变体机构,机构/执行系统,改善,SE0387,容积侵占,设计问题,控制设计和变体机构设计的需求，或在结构重量增加、机翼容积侵占等方面付,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,112,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0743
SR0535,SE0188,变体机构,机构/执行系统,改善,SE0194,机构设计,机构/执行系统,控制设计和变体机构设计的需求，或在结构重量增加、机翼容积侵占等方面付,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,112,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0738
SR0536,SE0188,变体机构,机构/执行系统,改善,SE0169,结构重量,结构部件,控制设计和变体机构设计的需求，或在结构重量增加、机翼容积侵占等方面付,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,112,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0741
SR0537,SE0051,变体过程,变形方式,改善,SE0254,升力,性能指标,机翼增加负扭转角，则在变体过程中，活动机翼需卸载的升力减小，也同样会,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,132,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1231
SR0538,SE0051,变体过程,变形方式,改善,SE0278,攻角,性能指标,长左右位置，可以最大程度的减少变体过程中连杆的受力。若同时兼顾因攻角,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,92,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1164
SR0539,SE0051,变体过程,变形方式,改善,SE0163,活动机翼,结构部件,在此变体过程中，每个活动机翼增加了自转和公转两个自由度，而每段机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,45,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0799
SR0540,SE0052,变前掠,变形方式,改善,SE0101,平直翼,气动布局,变前掠机翼方案能够兼顾平直翼、前掠翼、三角,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,15,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0911
SR0541,SE0054,变后掠翼,变形方式,改善,SE0300,气动收益,性能指标,量，这削弱了变后掠带来的气动收益，不利于燃,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0898
SR0542,SE0055,变展长技术,变形方式,改善,SE0050,变体方案,变形方式,2000L 时，可以取得较好的收益。而现有的常见的变展长变体方案，在结构重量,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,41,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0590
SR0543,SE0055,变展长技术,变形方式,改善,SE0016,变构飞行器,飞行器对象,2.3 变展长变体飞行器的设计准则和收益分析,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,36,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0874
SR0544,SE0055,变展长技术,变形方式,改善,SE0392,收益代价,设计问题,鹰”应用变展长变体技术后的收益代价，结果表明，在缩减50%起降翼展的情,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0636
SR0545,SE0055,变展长技术,变形方式,改善,SE0169,结构重量,结构部件,2000L 时，可以取得较好的收益。而现有的常见的变展长变体方案，在结构重量,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,41,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0592
SR0546,SE0055,变展长技术,变形方式,改善,SE0321,翼展,专业概念,鹰”应用变展长变体技术后的收益代价，结果表明，在缩减50%起降翼展的情,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1043
SR0547,SE0055,变展长技术,变形方式,改善,SE0396,设计准则,专业概念,2.3 变展长变体飞行器的设计准则和收益分析,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,36,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0876
SR0548,SE0055,变展长技术,变形方式,改善,SE0329,起降翼展,专业概念,鹰”应用变展长变体技术后的收益代价，结果表明，在缩减50%起降翼展的情,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0638
SR0549,SE0016,变构飞行器,飞行器对象,改善,SE0055,变展长技术,变形方式,长的改变，为了提高变体的收益，应最大化的提高变体飞行器改变展长的比例；,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0674
SR0550,SE0016,变构飞行器,飞行器对象,改善,SE0392,收益代价,设计问题,实用价值。为此，在变体飞行器设计中，需明确变体的收益代价及其边界。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,39,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0797
SR0551,SE0016,变构飞行器,飞行器对象,改善,SE0169,结构重量,结构部件,关键词：变构飞行器；变形收益；费效比；机构驱动；结构重量,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0845
SR0552,SE0016,变构飞行器,飞行器对象,改善,SE0396,设计准则,专业概念,2.3 变展长变体飞行器的设计准则和收益分析,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,36,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0875
SR0553,SE0016,变构飞行器,飞行器对象,改善,SE0399,费效比,设计问题,关键词：变构飞行器；变形收益；费效比；机构驱动；结构重量,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0844
SR0554,SE0016,变构飞行器,飞行器对象,改善,SE0345,飞行性能,性能指标,变体飞行器在改善了飞行性能的同时，在重量、结构、可靠性等方面也带来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,47,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0001
SR0555,SE0258,后掠角,性能指标,改善,SE0012,单-双折叠翼变体飞行器,飞行器对象,除可能少量增加机翼厚度，减小后掠角外，单-双折叠翼变体飞行器无需改变,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,127,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1222
SR0556,SE0258,后掠角,性能指标,改善,SE0311,激波阻力,性能指标,速飞行时则机翼向后转动，此时飞机的后掠角增大，有利于降低激波阻力，提高,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,25,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1014
SR0557,SE0258,后掠角,性能指标,改善,SE0337,阻力,性能指标,速飞行时则机翼向后转动，此时飞机的后掠角增大，有利于降低激波阻力，提高,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,25,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1015
SR0558,SE0129,固定机翼,结构部件,改善,SE0254,升力,性能指标,并转移至固定机翼，减小梢根比也有利于减少需要转移的升力，降低对于活动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1221
SR0559,SE0129,固定机翼,结构部件,改善,SE0286,梢根比,性能指标,并转移至固定机翼，减小梢根比也有利于减少需要转移的升力，降低对于活动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0765
SR0560,SE0129,固定机翼,结构部件,改善,SE0163,活动机翼,结构部件,翼的攻角也将同步增加，且近似认为攻角变化时固定机翼和活动机翼的升力分,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,130,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0775
SR0561,SE0260,多飞行任务性能,性能指标,改善,SE0058,变形方式,变形方式,行需求，探索可以提高多飞行任务性能的新概念变形方式，建立智能变体设计模型及多学科强耦合一体化设计体系将成,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0579
SR0562,SE0137,大展弦比机翼,结构部件,改善,SE0256,升阻比,性能指标,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0054
SR0563,SE0137,大展弦比机翼,结构部件,改善,SE0266,展弦比,性能指标,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1245
SR0564,SE0137,大展弦比机翼,结构部件,改善,SE0327,诱导阻力,性能指标,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0795
SR0565,SE0137,大展弦比机翼,结构部件,改善,SE0337,阻力,性能指标,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1246
SR0566,SE0019,大展弦比飞机,飞行器对象,改善,SE0392,收益代价,设计问题,2.3.3 应用变体技术的大展弦比飞机收益代价边界,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,39,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0858
SR0567,SE0263,失速攻角,性能指标,改善,SE0278,攻角,性能指标,右位置，上下机翼间距在1 倍弦长左右时，机翼的失速攻角有小幅度提高，其,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,60,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1057
SR0568,SE0365,宽速域,任务场景,改善,SE0171,翼型,结构部件,波前体和宽速域翼型/机翼来兼顾亚/跨/超/高,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,29,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0889
SR0569,SE0266,展弦比,性能指标,改善,SE0254,升力,性能指标,性的影响是一致的，即增大展弦比会降低诱导阻力，并少量提升飞机的升力。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,74,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1131
SR0570,SE0266,展弦比,性能指标,改善,SE0256,升阻比,性能指标,说，增大机翼的展弦比，是降低诱导阻力，提高巡航升阻比的最有效手段。但大,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0990
SR0571,SE0266,展弦比,性能指标,改善,SE0049,变体技术,变形方式,飞行器的收益边界。本章中对于展弦比设计规律和变体技术收益代价边界的研,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1080
SR0572,SE0266,展弦比,性能指标,改善,SE0392,收益代价,设计问题,飞行器的收益边界。本章中对于展弦比设计规律和变体技术收益代价边界的研,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1081
SR0573,SE0266,展弦比,性能指标,改善,SE0169,结构重量,结构部件,展弦比的增加，机翼变得更加细长，所需要的结构重量也随之增加，同时机翼的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1009
SR0574,SE0266,展弦比,性能指标,改善,SE0321,翼展,专业概念,的展弦比本身较大，机翼翼展的增加大幅增加了机翼的机构重量，抵消了提高,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,137,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1239
SR0575,SE0266,展弦比,性能指标,改善,SE0172,翼根,结构部件,阻力，提高气动效率，增加航程。但另一方面，增加展弦比会使机翼根部弯矩增,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1021
SR0576,SE0266,展弦比,性能指标,改善,SE0326,航程,性能指标,的展弦比。因此，提高飞机的展弦比，是飞机降低阻力、增大航程最有效和最直,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1008
SR0577,SE0266,展弦比,性能指标,改善,SE0482,设计规律,专业概念,飞行器的收益边界。本章中对于展弦比设计规律和变体技术收益代价边界的研,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1078
SR0578,SE0266,展弦比,性能指标,改善,SE0327,诱导阻力,性能指标,说，增大机翼的展弦比，是降低诱导阻力，提高巡航升阻比的最有效手段。但大,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0986
SR0579,SE0266,展弦比,性能指标,改善,SE0337,阻力,性能指标,说，增大机翼的展弦比，是降低诱导阻力，提高巡航升阻比的最有效手段。但大,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.83,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0988；R1007
SR0580,SE0366,巡航翼展,任务场景,改善,SE0321,翼展,专业概念,大巡航翼展，则飞机的机翼面积增加，较于原准机，飞机的翼载荷可以相应降,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1210
SR0581,SE0366,巡航翼展,任务场景,改善,SE0175,翼面积,结构部件,大巡航翼展，则飞机的机翼面积增加，较于原准机，飞机的翼载荷可以相应降,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1212
SR0582,SE0366,巡航翼展,任务场景,改善,SE0326,航程,性能指标,扩展30%巡航翼展的同时缩减30%起降翼展，并增加25%左右的航程。总体,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,139,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0984
SR0583,SE0366,巡航翼展,任务场景,改善,SE0329,起降翼展,专业概念,扩展一倍巡航翼展，在飞机起降翼展不变的情况下，增大机翼的面积和展弦,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,137,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0813
SR0584,SE0366,巡航翼展,任务场景,改善,SE0332,载荷,性能指标,大巡航翼展，则飞机的机翼面积增加，较于原准机，飞机的翼载荷可以相应降,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1215
SR0585,SE0101,平直翼,气动布局,改善,SE0380,跨声速,专业概念,的平直翼。随着马赫数的增大，在跨声速巡航或,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0905
SR0586,SE0067,折叠翼,变形方式,改善,SE0099,常规布局,气动布局,-双折叠翼变体飞机的推重比相较于常规布局应稍微增大，也可以在推重比不,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0753
SR0587,SE0067,折叠翼,变形方式,改善,SE0326,航程,性能指标,双折叠翼变体相较于其他布局可以增加50%以上航程；2)在全球鹰基础上，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,139,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1074
SR0588,SE0368,提高低速机动性,任务场景,改善,SE0283,机动性能,性能指标,航向操纵能力上的不足，提高低速机动性能和起,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0906
SR0589,SE0103,支撑翼布局,气动布局,改善,SE0266,展弦比,性能指标,支撑翼布局也同样是降低机翼负载，增加机翼展弦比的创新布局形式之一。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,21,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1249
SR0590,SE0103,支撑翼布局,气动布局,改善,SE0321,翼展,专业概念,支撑翼布局也同样是降低机翼负载，增加机翼展弦比的创新布局形式之一。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,21,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1248
SR0591,SE0392,收益代价,设计问题,改善,SE0321,翼展,专业概念,鹰”应用变展长变体技术后的收益代价，结果表明，在缩减50%起降翼展的情,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1042
SR0592,SE0392,收益代价,设计问题,改善,SE0329,起降翼展,专业概念,鹰”应用变展长变体技术后的收益代价，结果表明，在缩减50%起降翼展的情,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0637
SR0593,SE0278,攻角,性能指标,改善,SE0116,下机翼,结构部件,上方位置时，上机翼的零升攻角大幅提高，而下机翼的零升攻角大幅降低；当,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,56,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1096
SR0594,SE0278,攻角,性能指标,改善,SE0254,升力,性能指标,降低，零升攻角滞后，而上机翼的实际攻角则会增加，升力线斜率升高，零升,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,59,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1103
SR0595,SE0278,攻角,性能指标,改善,SE0129,固定机翼,结构部件,翼的攻角也将同步增加，且近似认为攻角变化时固定机翼和活动机翼的升力分,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,130,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1228
SR0596,SE0278,攻角,性能指标,改善,SE0102,折叠构型,气动布局,不同攻角下的升阻特性、飞行稳定性进行了分析及对比。结果表明，折叠构型在高空高速条件下具备优良的减速性能，并可,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0934
SR0597,SE0278,攻角,性能指标,改善,SE0163,活动机翼,结构部件,翼的攻角也将同步增加，且近似认为攻角变化时固定机翼和活动机翼的升力分,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,130,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1229
SR0598,SE0220,智能控制,控制方法,改善,SE0225,环境自适应特性,控制方法,体是指基于智能材料、智能控制等技术根据不同,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0077
SR0599,SE0281,最大升力系数,性能指标,改善,SE0116,下机翼,结构部件,不能同步失速，双翼整体的最大升力系数并没有提高；当下机翼在前时，双翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,60,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0694
SR0600,SE0281,最大升力系数,性能指标,改善,SE0254,升力,性能指标,在前时，上机翼和下机翼的最大升力系数均大幅提高，但由于上机翼和下机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,60,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1107
SR0601,SE0281,最大升力系数,性能指标,改善,SE0089,单翼构型,气动布局,提高双翼构型的最大升力系数，增强双翼构型的起降性能；降低单翼构型的阻,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0757
SR0602,SE0281,最大升力系数,性能指标,改善,SE0337,阻力,性能指标,上机翼的上反可以小幅度的增加最大升力系数，降低阻力，有助于改善双翼的气,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,77,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0661；R1064
SR0603,SE0194,机构设计,机构/执行系统,改善,SE0387,容积侵占,设计问题,控制设计和变体机构设计的需求，或在结构重量增加、机翼容积侵占等方面付,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,112,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0742
SR0604,SE0194,机构设计,机构/执行系统,改善,SE0169,结构重量,结构部件,控制设计和变体机构设计的需求，或在结构重量增加、机翼容积侵占等方面付,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,112,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0740
SR0605,SE0071,机械变形,变形方式,改善,SE0330,起飞升力,性能指标,高升力装置的机械变形提高飞机起飞升力，缩短,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0896
SR0606,SE0286,梢根比,性能指标,改善,SE0254,升力,性能指标,较小梢根比的梯形翼时，翼根的弦长和升力增加，翼尖的弦长和升力减少，机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1118
SR0607,SE0286,梢根比,性能指标,改善,SE0093,双翼,气动布局,斯瓦尔德因子和诱导阻力较高；且改变机翼的梢根比对提升双翼的奥斯瓦尔德,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0713
SR0608,SE0286,梢根比,性能指标,改善,SE0169,结构重量,结构部件,一方面，适当的梢根比也有利于减少飞机的翼根弯矩，降低结构重量。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0839
SR0609,SE0286,梢根比,性能指标,改善,SE0172,翼根,结构部件,较小梢根比的梯形翼时，翼根的弦长和升力增加，翼尖的弦长和升力减少，机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0707
SR0610,SE0105,气动布局,气动布局,改善,SE0238,飞行控制,控制方法,局，常规式气动布局结构较为简单，飞行控制系统成熟，有利于进一步改造为,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,141,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1241
SR0611,SE0299,气动性能,性能指标,改善,SE0115,上机翼,结构部件,2)双翼的气动性能对于机翼平面参数的变化不敏感，除了增大上机翼与,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0829
SR0612,SE0299,气动性能,性能指标,改善,SE0041,伸缩翼,变形方式,有效改善飞行器气动性能。其中一种伸缩机翼,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0928
SR0613,SE0299,气动性能,性能指标,改善,SE0343,飞行包线,专业概念,环境并改善飞行器气动性能、扩展飞行包线的变,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0894
SR0614,SE0300,气动收益,性能指标,改善,SE0179,非连续蒙皮,结构部件,气动收益。此外，还存在非连续蒙皮变形使局部应,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0873
SR0615,SE0301,气动效率,性能指标,改善,SE0266,展弦比,性能指标,阻力，提高气动效率，增加航程。但另一方面，增加展弦比会使机翼根部弯矩增,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1025
SR0616,SE0301,气动效率,性能指标,改善,SE0172,翼根,结构部件,阻力，提高气动效率，增加航程。但另一方面，增加展弦比会使机翼根部弯矩增,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0633
SR0617,SE0301,气动效率,性能指标,改善,SE0326,航程,性能指标,阻力，提高气动效率，增加航程。但另一方面，增加展弦比会使机翼根部弯矩增,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1022
SR0618,SE0304,气动设计,性能指标,改善,SE0051,变体过程,变形方式,为此，在飞机的气动设计中，应适当增大飞机的静稳定裕度，以确保变体过程,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,85,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0721
